﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Dybdemåling nr;Startdato;Bunddybde (m);Sigtdybde (m);Springlag;Springlag startdybde (m);Springlag slutdybde (m);Sigt til bund;Højdereference;Referencekote (m);Målt vandstand (m);Vandstandskote (m);Kvalitetsmærke
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;13-01-1998;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/287c7e05-ce38-4446-984a-8b0314ca2d82;Aktivitetssted;32;664937;6067429;1;13-01-1998 10:30:00 +01:00;9999;2,3;;;;Nej;;;;;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;05-05-1997;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/894fdb7d-efc8-44cd-a4b9-a02f4526042d;Aktivitetssted;32;664937;6067429;1;05-05-1997 12:30:00 +02:00;9999;1,8;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;13-01-1998;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b2e9cc13-1f56-452b-9ecb-8e18c5ff22d2;Aktivitetssted;32;666003;6065651;1;13-01-1998 10:30:00 +01:00;3,1;2,3;;;;Nej;DNN;9999999;9999988,255000241;10,744999758899212;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;20-11-2001;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0ef7bc13-1dd1-4a7c-af5e-134638375637;Aktivitetssted;32;664937;6067429;1;20-11-2001 10:30:00 +01:00;9999;2,9;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;09-01-1990;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c8624264-15fa-4359-932e-9eba74056b76;Aktivitetssted;32;666003;6065651;1;09-01-1990 09:30:00 +01:00;2,8;1,5;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;29-10-1991;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7eaebc97-af99-4a7e-acd1-84a4eb5a260b;Aktivitetssted;32;666003;6065651;1;29-10-1991 11:30:00 +01:00;3,4;1,65;;;;Nej;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;09-01-1990;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/dc9cf799-422a-4f13-a8ad-7a582f492759;Aktivitetssted;32;665547;6067368;1;09-01-1990 09:00:00 +01:00;9999;1,3;;;;Nej;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;13-11-1989;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ddc55063-bca9-4805-8f47-d7ee8983a5d4;Aktivitetssted;32;665547;6067368;1;13-11-1989 12:15:00 +01:00;2,7;2,7;;;;Ja;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-06-1989;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c1400c58-a41c-4d4f-b418-3a4db77a6f89;Aktivitetssted;32;666003;6065651;1;19-06-1989 12:40:00 +02:00;3;1,75;;;;Nej;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;02-06-1992;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c78e58df-84de-473c-9212-aa198ae2e411;Aktivitetssted;32;665547;6067368;1;02-06-1992 11:25:00 +02:00;2,6;2,6;;;;Ja;;;;;2
