﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Undersøgelsesniveau;Undersøgelsesmetode;Teknisk anvisning;Dataejer;Link;Dybdezone;Garnplacering;Taxonkode;Artkode;Art latin;Art;Simpelt Gns CPUE - pr art <10 cm (antal);Simpelt Gns CPUE - pr art >=10 cm (antal);Simpelt Gns CPUE - pr art - total (antal);Simpelt Gns CPUE - pr art <10 cm (vægt);Simpelt Gns CPUE - pr art >=10 cm (vægt);Simpelt Gns CPUE - pr art - total (vægt);Volumenvægtet CPUE - pr art <10 cm (antal);Volumenvægtet CPUE - pr art >=10 cm (antal);Volumenvægtet CPUE - pr art - total (antal);Volumenvægtet CPUE - pr art <10 cm (vægt);Volumenvægtet CPUE - pr art >=10 cm (vægt);Volumenvægtet CPUE - pr art - total (vægt);Kvalitetsmærke
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2016;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6df48a86-9b1d-429e-9e69-873f4966f4ac;1;Bentisk;1301430100;25;Tinca tinca;Suder;0;0,4;0,4;0;708,9;708,9;0;0,4;0,4;0;708,9;708,9;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;1301330100;32;Rutilus rutilus;Skalle;27,25;12;39,25;138,125;948;1086,125;27,25;12;39,25;138,125;948;1086,125;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;2802020100;50;Gymnocephalus cernuus;Hork;24,125;0,125;24,25;90,5;2;92,5;24,125;0,125;24,25;90,5;2;92,5;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;1301430100;25;Tinca tinca;Suder;22,7;1,7;24,4;45,080000000000005;556,92;602;22,7;1,7;24,4;45,080000000000005;556,92;602;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;1301380300;26;Abramis brama;Brasen;2,4;0,1;2,5;6,88;4,7;11,58;2,4;0,1;2,5;6,88;4,7;11,58;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-09-2010;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a07bfeb8-5565-490f-8c66-91d146e5ffd0;1;Bentisk;1302030100;38;Cobitis taenia;Pigsmerling;0,2;0;0,2;0,5900000000000001;0;0,5900000000000001;0,2;0;0,2;0,5900000000000001;0;0,5900000000000001;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;1301370100;31;Scardinius erythropthalmus;Rudskalle;0;2,7;2,7;0;185,88;185,88;0;2,7;2,7;0;185,88;185,88;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2022;1;Fisk, Sø;Basis;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/547807b5-1aa9-475d-b80f-a09529650ae8;1;Bentisk;2802010100;49;Perca fluviatilis;Aborre;65,8;10,2;76;291,07;1126,35;1417,4199999999998;65,8;10,2;76;291,07;1126,35;1417,4199999999998;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;22-08-2016;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6df48a86-9b1d-429e-9e69-873f4966f4ac;1;Bentisk;1101010100;15;Esox lucius;Gedde;0;0,5;0,5;0;1217,6;1217,6;0;0,5;0,5;0;1217,6;1217,6;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-09-2004;1;Fisk, Sø;Basis+;Fiskeundersøgelse i sø, dybdezone;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7161ce0a-197b-468c-99d6-39ecfecda248;1;Bentisk;1101010100;15;Esox lucius;Gedde;0;0,25;0,25;0;104,125;104,125;0;0,25;0,25;0;104,125;104,125;2
