﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling Nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;31-05-1994;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4071cf4b-9c7c-4a3e-ae01-991cdf2c8a26;Aktivitetssted;32;666003;6065651;1;31-05-1994 11:00:00 +02:00;1;Oxygen indhold; =;9,7;mg/l;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-08-2014;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6598ec6f-2996-49b8-9d16-6b6fcb3d2594;Aktivitetssted;32;666003;6065651;1;19-08-2014 12:03:00 +02:00;0,23;pH; =;9,71;pH;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;11-07-1995;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4677ebf1-9ec0-44aa-8230-bbcc350ed18a;Aktivitetssted;32;666003;6065651;1;11-07-1995 13:45:00 +02:00;1,8;pH; =;8,07;pH;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;03-04-1997;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fd9bcd9a-1bad-4192-afee-c2db121a56c8;Aktivitetssted;32;666003;6065651;1;03-04-1997 10:15:00 +02:00;1,5;Oxygen indhold; =;13,73;mg/l;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-06-2010;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/047736f7-4240-43c8-adb5-2a37eba874f4;Aktivitetssted;32;666003;6065651;1;10-06-2010 13:55:00 +02:00;0,2;Oxygen indhold; =;8,16;mg/l;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;25-07-1994;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/149b5a74-dcdf-479b-9ad2-a02acad62bff;Aktivitetssted;32;666003;6065651;1;25-07-1994 12:20:00 +02:00;0,2;pH; =;8,24;pH;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;06-08-1991;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e491ae9f-ae7b-4ba9-83e6-2b48e205de71;Aktivitetssted;32;665547;6067368;1;06-08-1991 12:35:00 +02:00;0,2;Oxygen indhold; =;7,9;mg/l;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;09-11-1993;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1c0ecae6-c279-4f5a-b5cf-effe91e41cca;Aktivitetssted;32;666003;6065651;1;09-11-1993 12:15:00 +01:00;0,2;Oxygen indhold; =;11;mg/l;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;20-02-1989;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/264b8676-1e68-43f0-a4c9-939f56b6c404;Aktivitetssted;32;666003;6065651;1;20-02-1989 13:45:00 +01:00;2;Temperatur; =;4,7;grader C;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;13-07-1992;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/26c6c85d-2052-4661-bcff-08ae74b32b0e;Aktivitetssted;32;665547;6067368;1;13-07-1992 11:50:00 +02:00;0,2;Oxygen indhold; =;9,3;mg/l;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;30-05-2001;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0b301991-9622-4093-9fa4-54ec2ba9f9fc;Aktivitetssted;32;666003;6065651;1;30-05-2001 09:10:00 +02:00;2,5;Oxygen indhold; =;6,7;mg/l;2
