﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Undersøgelsesmetode;Undersøgelsesniveau;Søtype/Sønaturtype;Teknisk anvisning;Dataejer;Link;Sø areal (m2);Taxonkode;Artkode;Art latin;Art;RPA %;Total RPA (m2);Total RPA (%);Total RPV (%);Største dybdegrænse (cm);Kvalitetsmærke
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;2900700030030;6518;Najas marina;Stor najade;31,44204696727681;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;10,109958779953915;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;2140575;1601010100000;77;Chara;Kransnålealgeslægten;0,4398635259688585;568612,4436607143;26,56356235740217;1,3170856872366188;200;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;1601010101303;95;Chara vulgaris var. contraria;Buttornet kransnål;18,369180593267902;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;0,6709044530774244;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;1601010101300;92;Chara vulgaris;Almindelig kransnål;1,3516390821523023;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;2140575;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;0,7263746116079698;568612,4436607143;26,56356235740217;1,3170856872366188;200;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;2900650030031;6514;Zannichellia palustris var. palustris;Krybende vandkrans;0,09127602749357297;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;2900700030030;6518;Najas marina;Stor najade;18,362648496620828;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;2900650030030;6513;Zannichellia palustris;Vandkrans;0,009055161457695733;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
